Pune's Top Restaurants,Total Restaurants: 20,Search Query: Top restaurants in Mumbai,Generated on: 2024-12-19 05:13:07,,
Restaurant Name,Rating,Location,Phone Number,Price Range,Available Services
Citrus - Fine Dining Restaurant,4.9,"Sahar Airport Rd, Mariyyman Nagar, Greater Indra Nagar, Andheri East, Mumbai, Maharashtra 400099",022 6691 1359,Price Range Not Available,Reservations required · Has all you can eat · Has outdoor seating
Tiqri,4.9,"Chhatrapati Shivaji Maharaj International Airport Mumbai, T1, off Western Express Highway, Navpada, Vile Parle East, Santacruz East, Mumbai, Maharashtra 400099",022 6211 5502,Price Range Not Available,Reservations required · Has all you can eat · Has outdoor seating
Ziya Restaurant,4.9,"The Oberoi, Mumbai, Nariman Point, Mumbai, Maharashtra 400021",022 6632 6210,Price Range Not Available,Reservations required · Has all you can eat · Has outdoor seating
Yauatcha Mumbai,4.9,"Raheja Tower, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051",092222 22800,"₹2,000",Reservations required · Has all you can eat · Has fireplace
Melting Pot,4.9,"Ground Floor, 148 B, Juhu Tara Rd, Airport Area, Juhu, Mumbai, Maharashtra 400049",022 6783 4949,Price Range Not Available,Reservations required · Has all you can eat · Has outdoor seating
Hakkasan,4.9,"2nd Floor, Krystal Building, Waterfield Road, Bandra West, Mumbai, Maharashtra 400050",083558 77777,Price Range Not Available,Reservations required · Has all you can eat · Serves vegan dishes
Fifty Five East,4.9,"Vicinity, BANK OF INDIA STAR AVAS, Hotel and Residences, Grand Hyatt, Off, Western Express Hwy, Santacruz East, Mumbai, Maharashtra 400055",022 6676 1673,Price Range Not Available,Reservations required · Has all you can eat · Has outdoor seating
Trèsind Mumbai,4.9,"Ground Floor Inspire BKC E, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051",089280 00058,"₹2,000",Reservations required · Has all you can eat · Has outdoor seating
Nawab Saheb,4.9,"The Westin, 2 & 3B, Lake, near Chinmayanand Ashram, Kailash Nagar, Mayur Nagar, Morarji Nagar, Powai, Mumbai, Maharashtra 400087",022 6692 7559,Price Range Not Available,Has all you can eat · Serves vegan dishes · Has live music
Masala Library by Jiggs Kalra,4.9,,,Not Available,
BlackBerry Kitchen & Bar,4.9,"First floor, NTB, Blackberry Kitchen & Bar, Mumbai International Airport, opp. Sahara Star Hotel, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057",091366 57656,Price Range Not Available,Has all you can eat · Serves happy-hour food · Serves vegan dishes
Jamavar - Indian Speciality Restaurant,4.9,"Sahar Airport Rd, Mariyyman Nagar, Greater Indra Nagar, Andheri East, Mumbai, Maharashtra 400059",022 6691 1350,Price Range Not Available,Reservations required · Has all you can eat · Has outdoor seating
Dakshin Coastal,4.9,,Phone Not Available,Price Range Not Available,
"Bastian, Bandra",4.9,,Phone Not Available,Price Range Not Available,
Indian Accent Mumbai,4.9,"Jio World Centre, Ground Floor, Nita Mukesh Ambani Cultural Centre, C-64, G Block, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400098",022 3525 1500,Price Range Not Available,Reservations required · Has all you can eat · Has outdoor seating
The Bombay Canteen,4.9,"Unit-1, Process House, S.B. Road, Kamala Mills, Near Radio Mirchi Office Lower, Parel, Mumbai, Maharashtra 400013",088808 02424,Price Range Not Available,Reservations required · Has fireplace · Serves vegan dishes
By The Mekong,4.9,"The Penthouse Level 37 at The St. Regis, 462, Senapati Bapat Marg, next to Phoenix Palladium, Lower Parel, Mumbai, Maharashtra 400013",022 6162 8070,Price Range Not Available,Reservations required · Serves vegan dishes · Has live music
Baluchi - A Pan Indian Destination,4.9,"The Penthouse Level 37 at The St. Regis, 462, Senapati Bapat Marg, next to Phoenix Palladium, Lower Parel, Mumbai, Maharashtra 400013",022 6162 8070,Price Range Not Available,Reservations required · Serves vegan dishes · Has live music
Peshwa Pavilion,4.9,"International Airport, Itc Maratha, Chhatrapati Shivaji Maharaj Int'l Airport Rd, Ashok Nagar, Andheri East, Mumbai, Maharashtra 400099",,Not Available,
The Bay View,4.9,"Hotel Marine Plaza, 29 Marine Drive, 2nd Cross Rd, Mumbai, Maharashtra 400020",022 2285 1212,"₹2,000",Reservations required · Has all you can eat · Serves vegan dishes
